datetime,open,high,low,close,volume,null
2025-05-19T09:15:00+05:30,283.5,283.5,278.0,278.5,2614,0
2025-05-19T09:16:00+05:30,278.11,278.48,278.11,278.48,367,0
2025-05-19T09:17:00+05:30,278.48,278.72,278.48,278.49,99,0
2025-05-19T09:18:00+05:30,278.7,278.86,278.52,278.86,608,0
2025-05-19T09:19:00+05:30,278.87,278.87,278.87,278.87,251,0
2025-05-19T09:20:00+05:30,278.87,279.11,278.87,278.88,4179,0
2025-05-19T09:21:00+05:30,278.89,278.89,278.74,278.74,26,0
2025-05-19T09:22:00+05:30,278.74,279.13,278.64,278.79,2231,0
2025-05-19T09:23:00+05:30,279.11,279.11,278.74,279.1,266,0
2025-05-19T09:24:00+05:30,278.95,278.95,278.74,278.74,200,0
2025-05-19T09:25:00+05:30,279.08,279.08,278.5,278.5,40,0
2025-05-19T09:26:00+05:30,278.87,278.87,278.87,278.87,18,0
2025-05-19T09:27:00+05:30,278.83,278.89,278.8,278.83,91,0
2025-05-19T09:28:00+05:30,278.5,278.81,278.3,278.79,671,0
2025-05-19T09:29:00+05:30,278.7,278.77,278.32,278.77,216,0
2025-05-19T09:30:00+05:30,278.76,278.95,278.48,278.89,765,0
2025-05-19T09:31:00+05:30,278.58,279.1,278.52,279.1,10145,0
2025-05-19T09:32:00+05:30,279.05,279.11,278.6,278.6,1052,0
2025-05-19T09:33:00+05:30,278.92,278.97,278.57,278.97,22,0
2025-05-19T09:34:00+05:30,278.97,279.0,278.58,279.0,1523,0
2025-05-19T09:35:00+05:30,278.98,278.98,278.58,278.61,90,0
2025-05-19T09:36:00+05:30,278.89,278.89,278.27,278.58,2089,0
2025-05-19T09:37:00+05:30,278.58,278.58,278.58,278.58,67,0
2025-05-19T09:38:00+05:30,278.79,278.79,278.5,278.66,531,0
2025-05-19T09:39:00+05:30,278.5,278.68,278.5,278.51,623,0
2025-05-19T09:40:00+05:30,278.51,278.58,278.22,278.58,417,0
2025-05-19T09:41:00+05:30,278.64,278.67,278.25,278.25,2722,0
2025-05-19T09:42:00+05:30,278.72,278.72,278.42,278.7,422,0
2025-05-19T09:43:00+05:30,278.7,278.7,278.35,278.7,1921,0
2025-05-19T09:44:00+05:30,278.5,278.7,278.41,278.7,2661,0
2025-05-19T09:45:00+05:30,278.41,278.7,278.36,278.62,292,0
2025-05-19T09:46:00+05:30,278.62,278.62,278.62,278.62,69,0
2025-05-19T09:47:00+05:30,278.7,278.7,278.54,278.62,63,0
2025-05-19T09:48:00+05:30,278.6,278.7,278.6,278.7,33,0
2025-05-19T09:49:00+05:30,278.7,278.7,278.69,278.69,14,0
2025-05-19T09:50:00+05:30,278.7,278.79,278.7,278.79,69,0
2025-05-19T09:51:00+05:30,278.79,278.79,278.7,278.79,860,0
2025-05-19T09:52:00+05:30,278.79,278.79,278.7,278.7,54,0
2025-05-19T09:53:00+05:30,278.74,278.75,278.47,278.47,290,0
2025-05-19T09:54:00+05:30,278.74,278.79,278.74,278.75,27,0
2025-05-19T09:55:00+05:30,278.79,278.79,278.72,278.73,140,0
2025-05-19T09:56:00+05:30,278.7,278.73,278.6,278.6,17,0
2025-05-19T09:57:00+05:30,278.69,278.69,278.64,278.68,414,0
2025-05-19T09:58:00+05:30,278.67,278.69,278.44,278.69,92,0
2025-05-19T09:59:00+05:30,278.66,278.77,278.48,278.51,408,0
2025-05-19T10:00:00+05:30,278.77,278.83,278.45,278.45,340,0
2025-05-19T10:01:00+05:30,278.64,278.7,278.5,278.7,57,0
2025-05-19T10:02:00+05:30,278.51,278.7,278.5,278.7,555,0
2025-05-19T10:03:00+05:30,278.7,278.98,278.7,278.95,33,0
2025-05-19T10:04:00+05:30,278.74,278.95,278.66,278.91,217,0
2025-05-19T10:05:00+05:30,278.7,278.93,278.66,278.88,154,0
2025-05-19T10:06:00+05:30,278.88,278.91,278.88,278.91,264,0
2025-05-19T10:07:00+05:30,278.89,278.95,278.88,278.95,902,0
2025-05-19T10:08:00+05:30,278.95,278.98,278.89,278.98,197,0
2025-05-19T10:09:00+05:30,278.98,278.98,278.89,278.98,24,0
2025-05-19T10:10:00+05:30,278.89,279.0,278.89,278.89,782,0
2025-05-19T10:11:00+05:30,279.0,279.0,278.89,279.0,47,0
2025-05-19T10:12:00+05:30,279.0,279.05,279.0,279.05,599,0
2025-05-19T10:13:00+05:30,279.02,279.02,279.02,279.02,18,0
2025-05-19T10:14:00+05:30,279.02,279.02,278.82,278.82,57,0
2025-05-19T10:15:00+05:30,279.0,279.0,278.83,278.83,47,0
2025-05-19T10:16:00+05:30,278.92,279.05,278.83,279.05,271,0
2025-05-19T10:17:00+05:30,279.02,279.1,278.95,279.1,25,0
2025-05-19T10:18:00+05:30,279.0,279.14,278.83,278.88,2033,0
2025-05-19T10:19:00+05:30,279.1,279.1,278.89,279.0,64,0
2025-05-19T10:20:00+05:30,278.89,279.14,278.77,279.02,737,0
2025-05-19T10:21:00+05:30,279.14,279.14,279.13,279.13,14,0
2025-05-19T10:22:00+05:30,279.02,279.2,279.02,279.02,394,0
2025-05-19T10:23:00+05:30,279.2,279.2,279.02,279.2,157,0
2025-05-19T10:24:00+05:30,279.19,279.27,279.19,279.27,280,0
2025-05-19T10:25:00+05:30,279.26,279.26,279.14,279.14,169,0
2025-05-19T10:26:00+05:30,279.0,279.18,278.83,278.83,1508,0
2025-05-19T10:27:00+05:30,278.99,278.99,278.93,278.98,119,0
2025-05-19T10:28:00+05:30,278.98,279.0,278.8,278.8,1527,0
2025-05-19T10:29:00+05:30,278.81,279.08,278.81,278.83,320,0
2025-05-19T10:30:00+05:30,279.0,279.06,279.0,279.01,46,0
2025-05-19T10:31:00+05:30,279.02,279.04,278.81,279.04,68,0
2025-05-19T10:32:00+05:30,279.04,279.04,278.81,278.81,14,0
2025-05-19T10:33:00+05:30,279.02,279.04,278.83,279.04,15,0
2025-05-19T10:34:00+05:30,279.1,279.1,278.85,279.1,157,0
2025-05-19T10:35:00+05:30,279.02,279.02,278.93,278.93,28,0
2025-05-19T10:36:00+05:30,278.93,279.01,278.93,279.01,49,0
2025-05-19T10:37:00+05:30,278.85,279.01,278.83,278.83,6,0
2025-05-19T10:38:00+05:30,278.83,278.83,278.83,278.83,71,0
2025-05-19T10:39:00+05:30,278.8,278.83,278.8,278.83,5,0
2025-05-19T10:40:00+05:30,278.83,278.83,278.83,278.83,178,0
2025-05-19T10:41:00+05:30,278.83,278.83,278.8,278.8,18,0
2025-05-19T10:42:00+05:30,278.8,278.8,278.8,278.8,2,0
2025-05-19T10:43:00+05:30,278.8,278.82,278.8,278.82,196,0
2025-05-19T10:44:00+05:30,278.8,278.83,278.8,278.83,1944,0
2025-05-19T10:45:00+05:30,278.82,278.83,278.8,278.8,6341,0
2025-05-19T10:46:00+05:30,278.82,278.82,278.8,278.8,18,0
2025-05-19T10:47:00+05:30,278.83,278.83,278.82,278.82,6,0
2025-05-19T10:48:00+05:30,278.83,278.83,278.83,278.83,3,0
2025-05-19T10:49:00+05:30,278.83,278.83,278.8,278.8,115,0
2025-05-19T10:50:00+05:30,278.8,278.83,278.8,278.8,584,0
2025-05-19T10:51:00+05:30,278.83,278.83,278.8,278.83,26,0
2025-05-19T10:52:00+05:30,278.83,279.0,278.8,278.99,684,0
2025-05-19T10:53:00+05:30,278.99,279.0,278.81,279.0,428,0
2025-05-19T10:54:00+05:30,278.85,279.2,278.85,278.95,129,0
2025-05-19T10:55:00+05:30,279.14,279.17,278.95,279.17,94,0
2025-05-19T10:56:00+05:30,279.17,279.19,278.97,279.14,56,0
2025-05-19T10:57:00+05:30,279.14,279.17,278.97,278.97,256,0
2025-05-19T10:58:00+05:30,279.2,279.2,278.99,278.99,64,0
2025-05-19T10:59:00+05:30,279.17,279.17,279.17,279.17,61,0
2025-05-19T11:00:00+05:30,279.17,279.22,279.08,279.08,582,0
2025-05-19T11:01:00+05:30,279.08,279.12,279.0,279.08,1549,0
2025-05-19T11:02:00+05:30,279.1,279.16,278.77,279.08,4002,0
2025-05-19T11:03:00+05:30,279.08,279.14,279.08,279.14,5,0
2025-05-19T11:04:00+05:30,279.14,279.14,278.99,279.12,371,0
2025-05-19T11:05:00+05:30,279.12,279.17,278.97,279.17,1172,0
2025-05-19T11:06:00+05:30,279.17,279.19,279.14,279.18,959,0
2025-05-19T11:07:00+05:30,279.18,279.18,278.97,279.18,301,0
2025-05-19T11:08:00+05:30,279.18,279.18,279.13,279.17,2190,0
2025-05-19T11:09:00+05:30,279.17,279.19,278.98,279.18,417,0
2025-05-19T11:10:00+05:30,279.18,279.19,279.14,279.14,292,0
2025-05-19T11:11:00+05:30,279.14,279.14,279.11,279.12,139,0
2025-05-19T11:12:00+05:30,279.13,279.13,278.95,279.1,488,0
2025-05-19T11:13:00+05:30,279.11,279.11,278.95,279.08,331,0
2025-05-19T11:14:00+05:30,279.08,279.08,278.95,279.08,22717,0
2025-05-19T11:15:00+05:30,279.07,279.11,278.95,279.08,769,0
2025-05-19T11:16:00+05:30,279.08,279.18,278.95,279.18,251,0
2025-05-19T11:17:00+05:30,278.95,279.19,278.95,279.18,556,0
2025-05-19T11:18:00+05:30,279.18,279.18,278.95,278.95,434,0
2025-05-19T11:19:00+05:30,279.18,279.18,278.95,279.18,147,0
2025-05-19T11:20:00+05:30,279.18,279.19,278.95,279.12,330,0
2025-05-19T11:21:00+05:30,279.13,279.13,279.02,279.02,264,0
2025-05-19T11:22:00+05:30,279.02,279.11,279.02,279.08,209,0
2025-05-19T11:23:00+05:30,279.07,279.11,278.95,279.08,202,0
2025-05-19T11:24:00+05:30,279.08,279.11,279.02,279.02,178,0
2025-05-19T11:25:00+05:30,279.01,279.04,279.0,279.0,529,0
2025-05-19T11:26:00+05:30,279.0,279.0,278.95,279.0,238,0
2025-05-19T11:27:00+05:30,279.0,279.0,278.95,279.0,176,0
2025-05-19T11:28:00+05:30,279.0,279.02,278.95,279.0,12199,0
2025-05-19T11:29:00+05:30,279.01,279.05,278.79,279.05,274,0
2025-05-19T11:30:00+05:30,279.02,279.11,278.83,279.07,768,0
2025-05-19T11:31:00+05:30,279.05,279.07,278.77,279.02,217,0
2025-05-19T11:32:00+05:30,278.75,279.0,278.69,278.94,238,0
2025-05-19T11:33:00+05:30,278.94,278.95,278.89,278.95,16493,0
2025-05-19T11:34:00+05:30,278.95,278.95,278.66,278.91,324,0
2025-05-19T11:35:00+05:30,278.91,278.92,278.64,278.92,121,0
2025-05-19T11:36:00+05:30,278.92,278.98,278.69,278.95,549,0
2025-05-19T11:37:00+05:30,278.95,279.0,278.64,279.0,494,0
2025-05-19T11:38:00+05:30,279.0,279.02,279.0,279.0,76,0
2025-05-19T11:39:00+05:30,279.01,279.01,278.77,278.95,88,0
2025-05-19T11:40:00+05:30,278.77,278.95,278.77,278.95,162,0
2025-05-19T11:41:00+05:30,278.94,278.95,278.72,278.93,186,0
2025-05-19T11:42:00+05:30,278.93,278.98,278.89,278.98,151,0
2025-05-19T11:43:00+05:30,278.98,279.0,278.94,278.95,214,0
2025-05-19T11:44:00+05:30,278.94,278.94,278.68,278.89,439,0
2025-05-19T11:45:00+05:30,278.89,278.89,278.55,278.88,600,0
2025-05-19T11:46:00+05:30,278.88,278.89,278.51,278.88,543,0
2025-05-19T11:47:00+05:30,278.88,278.92,278.6,278.91,309,0
2025-05-19T11:48:00+05:30,278.92,278.92,278.64,278.89,263,0
2025-05-19T11:49:00+05:30,278.89,278.89,278.63,278.77,396,0
2025-05-19T11:50:00+05:30,278.63,278.89,278.63,278.89,295,0
2025-05-19T11:51:00+05:30,278.89,279.0,278.69,278.97,375,0
2025-05-19T11:52:00+05:30,278.97,279.0,278.95,278.99,235,0
