datetime,open,high,low,close,volume,null
2025-05-19T09:15:00+05:30,280.05,281.33,279.41,279.75,106325,0
2025-05-19T09:16:00+05:30,279.89,280.14,279.75,279.92,27912,0
2025-05-19T09:17:00+05:30,279.92,280.2,279.89,280.2,19099,0
2025-05-19T09:18:00+05:30,280.2,280.58,280.05,280.35,46824,0
2025-05-19T09:19:00+05:30,280.35,280.39,280.2,280.39,19569,0
2025-05-19T09:20:00+05:30,280.39,280.39,280.2,280.3,31540,0
2025-05-19T09:21:00+05:30,280.3,280.33,280.05,280.18,31035,0
2025-05-19T09:22:00+05:30,280.33,280.44,280.11,280.39,22030,0
2025-05-19T09:23:00+05:30,280.45,280.45,280.22,280.39,12090,0
2025-05-19T09:24:00+05:30,280.39,280.68,280.25,280.29,25798,0
2025-05-19T09:25:00+05:30,280.39,280.39,280.24,280.25,12325,0
2025-05-19T09:26:00+05:30,280.25,280.39,280.2,280.24,7145,0
2025-05-19T09:27:00+05:30,280.2,280.24,280.14,280.17,12040,0
2025-05-19T09:28:00+05:30,280.23,280.23,279.86,280.01,73891,0
2025-05-19T09:29:00+05:30,279.95,280.08,279.85,280.08,47658,0
2025-05-19T09:30:00+05:30,280.08,280.27,279.91,280.27,42459,0
2025-05-19T09:31:00+05:30,280.27,280.54,280.08,280.43,25762,0
2025-05-19T09:32:00+05:30,280.39,280.43,280.14,280.27,22283,0
2025-05-19T09:33:00+05:30,280.27,280.31,280.14,280.27,9626,0
2025-05-19T09:34:00+05:30,280.27,280.35,280.14,280.33,9940,0
2025-05-19T09:35:00+05:30,280.32,280.36,280.05,280.19,17720,0
2025-05-19T09:36:00+05:30,280.2,280.2,280.0,280.05,12326,0
2025-05-19T09:37:00+05:30,280.05,280.06,280.0,280.05,13860,0
2025-05-19T09:38:00+05:30,280.04,280.05,279.75,279.76,19694,0
2025-05-19T09:39:00+05:30,279.8,279.89,279.7,279.81,25121,0
2025-05-19T09:40:00+05:30,279.81,279.83,279.7,279.8,22705,0
2025-05-19T09:41:00+05:30,279.8,279.89,279.75,279.83,14348,0
2025-05-19T09:42:00+05:30,279.89,280.0,279.79,279.89,37247,0
2025-05-19T09:43:00+05:30,279.89,280.1,279.82,280.1,18873,0
2025-05-19T09:44:00+05:30,280.1,280.22,279.93,280.06,22545,0
2025-05-19T09:45:00+05:30,280.06,280.06,279.88,280.0,9937,0
2025-05-19T09:46:00+05:30,280.0,280.05,279.89,280.0,14528,0
2025-05-19T09:47:00+05:30,279.99,280.1,279.93,280.1,6646,0
2025-05-19T09:48:00+05:30,280.1,280.14,279.93,280.06,13329,0
2025-05-19T09:49:00+05:30,280.08,280.1,279.94,280.08,5500,0
2025-05-19T09:50:00+05:30,280.08,280.2,280.0,280.18,8347,0
2025-05-19T09:51:00+05:30,280.18,280.25,280.02,280.12,8378,0
2025-05-19T09:52:00+05:30,280.18,280.23,280.1,280.14,20448,0
2025-05-19T09:53:00+05:30,280.14,280.14,280.0,280.14,15198,0
2025-05-19T09:54:00+05:30,280.14,280.2,280.05,280.1,17679,0
2025-05-19T09:55:00+05:30,280.1,280.1,280.05,280.08,8689,0
2025-05-19T09:56:00+05:30,280.08,280.08,280.0,280.04,7449,0
2025-05-19T09:57:00+05:30,280.05,280.05,280.0,280.04,6005,0
2025-05-19T09:58:00+05:30,280.04,280.08,280.0,280.02,13072,0
2025-05-19T09:59:00+05:30,280.02,280.04,280.0,280.04,6516,0
2025-05-19T10:00:00+05:30,280.04,280.1,280.0,280.04,13726,0
2025-05-19T10:01:00+05:30,280.07,280.14,280.01,280.14,14271,0
2025-05-19T10:02:00+05:30,280.13,280.23,280.1,280.14,11879,0
2025-05-19T10:03:00+05:30,280.16,280.24,280.14,280.23,8202,0
2025-05-19T10:04:00+05:30,280.23,280.24,280.2,280.24,16152,0
2025-05-19T10:05:00+05:30,280.22,280.24,280.2,280.24,4136,0
2025-05-19T10:06:00+05:30,280.24,280.25,280.2,280.25,17469,0
2025-05-19T10:07:00+05:30,280.25,280.27,280.1,280.25,11331,0
2025-05-19T10:08:00+05:30,280.25,280.3,280.08,280.3,13714,0
2025-05-19T10:09:00+05:30,280.3,280.33,280.2,280.25,6150,0
2025-05-19T10:10:00+05:30,280.33,280.47,280.22,280.45,7018,0
2025-05-19T10:11:00+05:30,280.45,280.5,280.33,280.42,16683,0
2025-05-19T10:12:00+05:30,280.42,280.44,280.38,280.39,9640,0
2025-05-19T10:13:00+05:30,280.38,280.45,280.38,280.45,6599,0
2025-05-19T10:14:00+05:30,280.45,280.45,280.36,280.45,4749,0
