datetime,open,high,low,close,volume,null
2025-05-19T09:15:00+05:30,6559.15,6565.55,6538.7,6562.15,0,0
2025-05-19T09:16:00+05:30,6561.9,6571.85,6558.55,6569.55,0,0
2025-05-19T09:17:00+05:30,6570.95,6581.5,6570.45,6580.2,0,0
2025-05-19T09:18:00+05:30,6581.05,6582.3,6574.65,6577.9,0,0
2025-05-19T09:19:00+05:30,6575.05,6576.9,6571.2,6576.8,0,0
2025-05-19T09:20:00+05:30,6576.65,6576.65,6559.75,6560.75,0,0
2025-05-19T09:21:00+05:30,6560.2,6567.15,6557.8,6566.8,0,0
2025-05-19T09:22:00+05:30,6566.9,6584.3,6566.9,6583.35,0,0
2025-05-19T09:23:00+05:30,6582.65,6583.05,6577.1,6579.15,0,0
2025-05-19T09:24:00+05:30,6579.35,6582.3,6578.9,6581.05,0,0
2025-05-19T09:25:00+05:30,6580.6,6582.1,6566.35,6571.95,0,0
2025-05-19T09:26:00+05:30,6571.75,6575.05,6567.35,6572.75,0,0
2025-05-19T09:27:00+05:30,6573.7,6580.95,6573.55,6574.45,0,0
2025-05-19T09:28:00+05:30,6574.2,6579.3,6573.3,6577.25,0,0
2025-05-19T09:29:00+05:30,6576.4,6578.6,6572.85,6578.05,0,0
2025-05-19T09:30:00+05:30,6578.35,6586.45,6577.95,6580.15,0,0
2025-05-19T09:31:00+05:30,6579.45,6590.0,6579.45,6589.4,0,0
2025-05-19T09:32:00+05:30,6589.0,6589.8,6582.35,6582.35,0,0
2025-05-19T09:33:00+05:30,6582.7,6584.4,6577.05,6577.05,0,0
2025-05-19T09:34:00+05:30,6578.0,6578.0,6569.1,6571.55,0,0
2025-05-19T09:35:00+05:30,6571.6,6572.05,6560.3,6560.75,0,0
2025-05-19T09:36:00+05:30,6561.25,6561.5,6552.5,6560.15,0,0
2025-05-19T09:37:00+05:30,6560.6,6563.5,6554.9,6554.95,0,0
2025-05-19T09:38:00+05:30,6555.25,6555.25,6539.95,6541.6,0,0
2025-05-19T09:39:00+05:30,6542.9,6547.15,6535.35,6537.1,0,0
2025-05-19T09:40:00+05:30,6535.75,6539.65,6529.5,6539.65,0,0
2025-05-19T09:41:00+05:30,6538.5,6543.65,6535.7,6543.55,0,0
2025-05-19T09:42:00+05:30,6543.15,6547.45,6543.15,6547.45,0,0
2025-05-19T09:43:00+05:30,6547.3,6554.1,6545.25,6553.1,0,0
2025-05-19T09:44:00+05:30,6552.45,6555.2,6549.5,6551.5,0,0
2025-05-19T09:45:00+05:30,6551.35,6551.65,6539.5,6546.55,0,0
2025-05-19T09:46:00+05:30,6546.35,6547.0,6542.6,6545.55,0,0
2025-05-19T09:47:00+05:30,6545.35,6553.25,6544.6,6547.9,0,0
2025-05-19T09:48:00+05:30,6547.95,6548.2,6541.9,6546.85,0,0
2025-05-19T09:49:00+05:30,6547.15,6552.3,6547.05,6547.95,0,0
2025-05-19T09:50:00+05:30,6548.4,6549.7,6543.8,6544.15,0,0
2025-05-19T09:51:00+05:30,6544.2,6544.9,6539.05,6539.55,0,0
2025-05-19T09:52:00+05:30,6539.5,6539.6,6530.5,6532.65,0,0
2025-05-19T09:53:00+05:30,6532.75,6537.95,6532.2,6534.75,0,0
2025-05-19T09:54:00+05:30,6534.4,6536.75,6532.25,6536.3,0,0
2025-05-19T09:55:00+05:30,6534.9,6535.55,6526.5,6527.05,0,0
2025-05-19T09:56:00+05:30,6527.2,6528.3,6523.15,6524.85,0,0
2025-05-19T09:57:00+05:30,6524.4,6527.95,6521.6,6527.65,0,0
2025-05-19T09:58:00+05:30,6526.8,6534.25,6526.55,6534.0,0,0
2025-05-19T09:59:00+05:30,6534.15,6534.75,6531.6,6533.3,0,0
2025-05-19T10:00:00+05:30,6535.0,6537.25,6532.15,6533.8,0,0
2025-05-19T10:01:00+05:30,6533.9,6536.15,6532.5,6536.15,0,0
2025-05-19T10:02:00+05:30,6535.5,6538.5,6532.5,6538.5,0,0
2025-05-19T10:03:00+05:30,6538.55,6544.25,6537.95,6544.25,0,0
2025-05-19T10:04:00+05:30,6544.05,6546.85,6542.5,6543.85,0,0
2025-05-19T10:05:00+05:30,6543.5,6544.4,6540.35,6542.4,0,0
2025-05-19T10:06:00+05:30,6542.35,6544.25,6539.8,6544.05,0,0
