datetime,open,high,low,close,volume,null
2025-05-19T09:15:00+05:30,21030.85,21034.55,20969.65,20989.55,0,0
2025-05-19T09:16:00+05:30,20987.55,21038.65,20985.25,21037.4,0,0
2025-05-19T09:17:00+05:30,21036.5,21039.15,21012.05,21017.55,0,0
2025-05-19T09:18:00+05:30,21017.3,21036.7,21014.65,21035.7,0,0
2025-05-19T09:19:00+05:30,21035.3,21042.75,21026.3,21039.65,0,0
2025-05-19T09:20:00+05:30,21039.95,21039.95,20988.95,20991.45,0,0
2025-05-19T09:21:00+05:30,20990.25,21029.8,20983.7,21029.8,0,0
2025-05-19T09:22:00+05:30,21031.5,21070.3,21031.5,21069.65,0,0
2025-05-19T09:23:00+05:30,21068.85,21069.85,21056.6,21058.65,0,0
2025-05-19T09:24:00+05:30,21057.2,21061.35,21054.75,21059.2,0,0
2025-05-19T09:25:00+05:30,21059.0,21060.5,21031.0,21033.05,0,0
2025-05-19T09:26:00+05:30,21032.8,21040.9,21022.1,21029.3,0,0
2025-05-19T09:27:00+05:30,21029.4,21057.0,21029.4,21037.5,0,0
2025-05-19T09:28:00+05:30,21036.85,21036.85,21023.35,21023.95,0,0
2025-05-19T09:29:00+05:30,21024.35,21024.65,21008.45,21021.25,0,0
2025-05-19T09:30:00+05:30,21021.0,21039.35,21020.15,21031.65,0,0
2025-05-19T09:31:00+05:30,21031.4,21048.6,21031.0,21044.6,0,0
2025-05-19T09:32:00+05:30,21045.05,21045.05,21027.0,21027.0,0,0
2025-05-19T09:33:00+05:30,21027.3,21034.95,21018.1,21034.0,0,0
2025-05-19T09:34:00+05:30,21034.15,21035.95,21024.2,21028.55,0,0
2025-05-19T09:35:00+05:30,21028.55,21031.35,21003.5,21004.65,0,0
2025-05-19T09:36:00+05:30,21005.35,21006.5,20980.1,20997.95,0,0
2025-05-19T09:37:00+05:30,20997.9,21001.45,20970.9,20971.0,0,0
2025-05-19T09:38:00+05:30,20970.55,20970.55,20914.0,20917.7,0,0
2025-05-19T09:39:00+05:30,20921.75,20930.75,20899.3,20900.75,0,0
2025-05-19T09:40:00+05:30,20899.7,20904.45,20878.9,20904.45,0,0
2025-05-19T09:41:00+05:30,20905.15,20925.45,20896.15,20925.45,0,0
2025-05-19T09:42:00+05:30,20924.35,20948.05,20924.35,20948.05,0,0
2025-05-19T09:43:00+05:30,20948.05,20957.85,20948.05,20957.6,0,0
2025-05-19T09:44:00+05:30,20957.6,20960.55,20942.5,20946.75,0,0
2025-05-19T09:45:00+05:30,20946.65,20946.65,20923.45,20937.15,0,0
2025-05-19T09:46:00+05:30,20936.95,20940.65,20929.7,20939.4,0,0
2025-05-19T09:47:00+05:30,20939.4,20966.05,20938.35,20961.9,0,0
2025-05-19T09:48:00+05:30,20961.75,20961.75,20943.8,20957.95,0,0
2025-05-19T09:49:00+05:30,20958.3,20971.15,20958.3,20966.5,0,0
